patch_stem,sample,row,col,tumor_frac,hepatocyte_frac,hm11_resemblance,hm11_resemblance_noliver,leaving_score,leaving_score_resid
IU_PDA_T11_patch-000474_18_20,IU_PDA_T11,18,20,0.5461111068725586,4.333927790867165e-05,-14.361678060092629,-13.99533622642785,-1.4875027097723266,-1.151445060932452
IU_PDA_T11_patch-000479_66_28,IU_PDA_T11,66,28,0.5022492408752441,4.0201419324148446e-05,-11.171881892799645,-10.822647672495153,1.3134676150340068,1.8653213420755583
IU_PDA_T11_patch-000487_61_91,IU_PDA_T11,61,91,0.6647272109985352,1.896792309707962e-05,-8.848635718108943,-8.609472089254531,-1.6601426676553237,-1.0453878573837465
IU_PDA_T11_patch-000489_73_95,IU_PDA_T11,73,95,0.6018779277801514,1.8079826986650005e-05,-8.688008756397336,-8.396192766637922,-0.9221164643242684,-0.3797127477119797
IU_PDA_T11_patch-000492_47_9,IU_PDA_T11,47,9,0.6063820719718933,3.9799331716494635e-05,-10.541073270242757,-10.12488769272043,0.5529520554917562,1.278535287763818
IU_PDA_T11_patch-000507_16_18,IU_PDA_T11,16,18,0.5162723064422607,4.241376154823229e-05,-14.273009048085568,-13.861575311515475,0.8896814854734542,1.4274934969136637
IU_PDA_T11_patch-000520_61_77,IU_PDA_T11,61,77,0.7576892375946045,1.802635597414337e-05,-9.384696366227466,-9.01568303738328,-1.9829536369811276,-1.1716210333527315
IU_PDA_T11_patch-000522_56_72,IU_PDA_T11,56,72,0.5836817622184753,2.6114750653505325e-05,-7.7376569078262225,-7.402672725248963,-0.3558267109772792,0.2067066490007563
IU_PDA_T11_patch-000530_63_63,IU_PDA_T11,63,63,0.7551616430282593,1.177079957415117e-05,-4.729996931383718,-4.29725293250046,-1.693174527905636,-0.8544524189534957
IU_PDA_T11_patch-000536_62_98,IU_PDA_T11,62,98,0.789734959602356,2.1369249225244857e-05,-9.249801617334207,-9.006647243929114,-1.951665175357272,-1.0559606947640316
IU_PDA_T11_patch-000544_58_68,IU_PDA_T11,58,68,0.5650272965431213,2.5697898308862932e-05,-7.956262969232468,-7.651013514978112,-0.2551351137052803,0.2721351206681617
IU_PDA_T11_patch-000545_54_74,IU_PDA_T11,54,74,0.5621798634529114,2.6983083444065414e-05,-10.02166737641554,-9.799825173526976,-0.1434687708151247,0.3896366230251775
IU_PDA_T11_patch-000547_49_1,IU_PDA_T11,49,1,0.7179716229438782,2.747126382018905e-05,-7.0879027329831645,-6.50886740148302,0.0732200929992543,1.024026125780268
IU_PDA_T11_patch-000550_56_6,IU_PDA_T11,56,6,0.5334158539772034,2.8167107302579097e-05,-10.886540025526282,-10.406910772918101,-0.2199291463268747,0.2318092531241999
IU_PDA_T11_patch-000554_74_68,IU_PDA_T11,74,68,0.791972279548645,1.7803013179218397e-05,-7.4599869163629435,-7.112033260556778,-1.7936002390366204,-0.8738464488122267
IU_PDA_T11_patch-000557_51_77,IU_PDA_T11,51,77,0.5483826994895935,2.6717456421465613e-05,-11.185124285988167,-11.046018681109928,-1.641307519387044,-1.317444417299777
IU_PDA_T11_patch-000568_49_15,IU_PDA_T11,49,15,0.5585933327674866,2.8213853511260822e-05,-11.351761720859221,-10.973306216784865,-0.3818651623288024,0.1144341608773996
IU_PDA_T11_patch-000582_52_76,IU_PDA_T11,52,76,0.6284982562065125,0.0011221058666706085,-12.038811189160878,-11.874892868138286,-0.9350699325207408,-0.3271153705782628
IU_PDA_T11_patch-000586_55_67,IU_PDA_T11,55,67,0.566960871219635,1.808020351745654e-05,-9.68200271945426,-9.260010625898781,-1.1716742971588012,-0.7463022349032403
IU_PDA_T11_patch-000611_60_76,IU_PDA_T11,60,76,0.6844220757484436,9.262533239962067e-06,-8.90536438969406,-8.625150864815053,-2.067812193620844,-1.4509337050549689
IU_PDA_T11_patch-000612_53_7,IU_PDA_T11,53,7,0.555590033531189,4.304886533645913e-05,-14.29327525939834,-13.909623721375112,-0.1324260934712789,0.3853651034377637
IU_PDA_T11_patch-000617_45_91,IU_PDA_T11,45,91,0.6016737222671509,0.00023669935762882233,-11.447925509565454,-11.326728168855883,-0.0577046689522304,0.5848813083082361
IU_PDA_T11_patch-000621_64_112,IU_PDA_T11,64,112,0.5306713581085205,3.902567914337851e-05,-13.02726280330762,-12.819248363538845,-1.298938983974651,-0.9798098400917062
IU_PDA_T11_patch-000630_68_92,IU_PDA_T11,68,92,0.5399583578109741,1.9163066099281423e-05,-11.379336919608066,-11.216934507609102,-1.1797317893256192,-0.8233209419838807
IU_PDA_T11_patch-000631_65_47,IU_PDA_T11,65,47,0.5073411464691162,2.646383836690802e-05,-6.954219270067302,-6.4537415878812405,-0.0276446812307294,0.3808079054022631
IU_PDA_T11_patch-000636_40_30,IU_PDA_T11,40,30,0.9452184438705444,1.8962806279887445e-05,-4.6751499207500435,-4.048427324659488,-2.720123706018751,-1.5222565262056718
IU_PDA_T11_patch-000646_67_97,IU_PDA_T11,67,97,0.6548687815666199,1.840628101490438e-05,-10.953445383965708,-10.629383270611998,-1.2021006857084575,-0.55882242187267
IU_PDA_T11_patch-000648_56_68,IU_PDA_T11,56,68,0.6518062949180603,0.0003514322161208838,-9.884495458545201,-9.56755609998169,-0.7785554183791,-0.0936524783144172
IU_PDA_T11_patch-000654_77_97,IU_PDA_T11,77,97,0.628656268119812,1.587888618814759e-05,-21.77096630563898,-21.56071371876174,-1.6754707694932132,-1.1533686053820174
IU_PDA_T11_patch-000656_52_8,IU_PDA_T11,52,8,0.5711968541145325,2.7633263016468845e-05,-10.498494328761533,-10.025672491426413,0.452525188099279,1.0777737342750149
