gene,corr_resid,corr_raw,sign_agreement,in_core,in_heldout,is_epithelial
ADAM2,0.0,0.0,0.0,False,False,False
ADAM20,0.0017751636,-0.019321792,2.0,False,False,False
ADAM22,-0.026983982,0.01222756,-4.0,False,False,False
ADAM23,-0.012480062,-0.0052496484,-2.0,False,False,False
ADAM28,-0.0053690425,-0.048067562,0.0,False,False,False
ADAM29,-0.0007458876,0.0002802469,0.0,False,False,False
ADAM30,0.0050962,0.004399363,1.0,False,False,False
ADAM32,0.0019611814,-0.0018964307,0.0,False,False,False
ADAM33,0.004345336,-0.016959783,2.0,False,False,False
ADAM7,-0.005606481,-0.012488078,-2.0,False,False,False
ADAM8,-0.014074541,-0.031437505,-2.0,False,False,False
ADAM9,-0.017870478,-0.02368432,0.0,False,False,False
ADAMDEC1,-0.017821267,-0.032574397,-4.0,False,False,False
ADAMTS1,0.02876592,-0.057318624,2.0,False,False,False
ADAMTS10,-0.010877029,0.0080941,-4.0,False,False,False
ADAMTS12,0.0026791594,0.09811144,0.0,False,False,False
ADAMTS13,-0.008400539,-0.012777486,-4.0,False,False,False
ADAMTS14,0.027943576,0.042695396,4.0,False,False,False
ADAMTS15,-0.0037892512,-0.026623879,-2.0,False,False,False
ADAMTS16,0.021361645,0.07185351,4.0,False,False,False
ADAMTS17,-0.0058689425,0.0022972603,-2.0,False,False,False
ADAMTS18,-0.0063126427,0.007226918,-2.0,False,False,False
ADAMTS19,-0.00033553963,0.005259715,0.0,False,False,False
ADAMTS2,0.017971111,0.10352004,2.0,False,False,False
ADAMTS20,-0.0018723998,0.009950656,0.0,False,False,False
ADAMTS3,-0.004717076,-0.015448524,0.0,False,False,False
ADAMTS4,-0.0030968501,0.0011070028,0.0,False,False,False
ADAMTS5,-0.00068110065,0.0052344734,-2.0,False,False,False
ADAMTS6,0.008187516,0.040134713,0.0,False,False,False
ADAMTS7,0.005168198,0.042599343,0.0,False,False,False
ADAMTS8,0.0038830405,-0.030480128,0.0,False,False,False
ADAMTS9,0.0010709286,-0.06550318,2.0,False,False,False
ADAMTSL1,0.017581599,0.020713264,2.0,False,False,False
ADAMTSL2,-0.049154785,-0.048273552,-2.0,False,False,False
ADAMTSL3,-0.010760255,0.004459482,-2.0,False,False,False
ADAMTSL4,0.04159038,0.036244303,4.0,False,False,False
ADAMTSL5,-0.01905085,-0.023301635,-2.0,False,False,False
ADAP1,-0.0145551115,-0.033988852,0.0,False,False,False
ADAP2,0.0006787437,0.006919327,0.0,False,False,False
ADAR,-0.0061158706,-0.009601822,-2.0,False,False,False
ADARB1,-0.011395706,0.02980768,0.0,False,False,False
ADARB2,0.0035435979,0.0071370336,2.0,False,False,False
ADAT1,-0.0032922823,-0.001490301,0.0,False,False,False
ADAT3,-0.022006012,-0.030813133,-4.0,False,False,False
ADCK1,-0.007334263,-0.022508424,0.0,False,False,False
ADCK2,0.004454959,-0.010046348,0.0,False,False,False
ADCK5,-0.015187858,-0.05616095,-2.0,False,False,False
ADCY1,-0.003030507,-0.012560636,0.0,False,False,False
ADCY10,0.014220026,0.00875235,4.0,False,False,False
ADCY2,0.0009390246,0.01728469,2.0,False,False,False
ADCY3,0.02132255,-0.007870491,4.0,False,False,False
ADCY4,0.000953702,-0.026964739,-2.0,False,False,False
ADCY5,-0.008282397,-0.036047764,-2.0,False,False,False
ADCY6,-0.0058737323,-0.026186883,0.0,False,False,False
ADCY7,0.014119219,0.019761797,2.0,False,False,False
ADCY8,0.0,0.0,0.0,False,False,False
ADCY9,-0.0050156876,0.006513741,0.0,False,False,False
ADCYAP1,0.008836998,0.002844951,2.0,False,False,False
ADCYAP1R1,0.0024090228,-0.0071498416,0.0,False,False,False
ADD1,-0.011182456,-0.028355565,-2.0,False,False,False
ADD2,0.0052413237,0.0046254224,2.0,False,False,False
ADD3,-0.020222139,-0.055048928,-2.0,False,False,False
ADGB,0.0010208518,0.007848465,1.0,False,False,False
ADGRA1,0.0,0.0,0.0,False,False,False
ADGRA2,-0.00085203303,0.02832068,2.0,False,False,False
ADGRA3,-0.002810169,-0.024119616,0.0,False,False,False
ADGRB1,-0.0051551433,-0.010148456,-2.0,False,False,False
ADGRB2,0.0011074588,0.02013229,0.0,False,False,False
ADGRB3,-0.0019714534,-0.003586958,-2.0,False,False,False
ADGRD1,-0.010634814,0.009235796,2.0,False,False,False
ADGRD2,-0.0049278135,-0.003837271,0.0,False,False,False
ADGRE1,-0.004226233,-0.011362812,-1.0,False,False,False
ADGRE2,0.010649646,-0.016915698,2.0,False,False,False
ADGRE3,-0.00044756004,0.004379196,0.0,False,False,False
ADGRE5,-0.008131759,-0.07300419,0.0,False,False,False
ADGRF1,0.006512095,-0.03270699,0.0,False,False,False
ADGRF2,0.006219457,-0.011465877,1.0,False,False,False
ADGRF3,-0.0046699937,-0.008294493,0.0,False,False,False
ADGRF4,0.0010556141,0.003047802,0.0,False,False,False
ADGRF5,-0.014413202,-0.029133685,-4.0,False,False,False
ADGRG1,0.01136678,-0.02636933,2.0,False,False,False
ADGRG2,-0.013083913,-0.021777257,-3.0,False,False,False
ADGRG3,0.005562988,0.0009422886,0.0,False,False,False
ADGRG4,-0.0057157446,0.0011992916,-2.0,False,False,False
ADGRG5,-0.0067187874,-0.017365364,-2.0,False,False,False
ADGRG6,-0.026364723,-0.08911331,-2.0,False,False,False
ADGRG7,-0.01834937,-0.044507496,-4.0,False,False,False
ADGRL1,-0.006386286,-0.0025356305,-2.0,False,False,False
ADGRL2,-0.019957103,-0.022377405,-2.0,False,False,False
ADGRL3,-0.006199835,-0.029007686,-2.0,False,False,False
ADGRL4,0.0027412674,0.00582506,2.0,False,False,False
ADGRV1,-0.004387223,-0.021943728,1.0,False,False,False
ADH1A,0.0,0.0,0.0,False,False,False
ADH1C,-0.026185162,-0.048410445,-2.0,False,False,False
ADH4,-0.009358259,-0.017764121,-1.0,False,False,False
ADH5,-0.014125479,-0.018344708,0.0,False,False,False
ADH6,-0.00058122864,-0.011130604,0.0,False,False,False
ADH7,-0.013656291,-0.0011499487,-2.0,False,False,False
ADHFE1,-0.009867553,-0.04320965,-2.0,False,False,False
ADI1,-0.02506497,-0.033951707,-2.0,False,False,False
ADIG,0.0050230627,0.004729339,2.0,False,False,False
