sample,patient,site,Epithelial,Bcells,Tcells,Plasma,Myeloid,NK,CAF,myCAF,Endothelial,Hepatocyte,Lung,Mesothelial,EMT,Proliferation,Hypoxia,Interferon
Pt-6C,Pt6,PM,1.57615220097849,-0.06882519014437959,-0.061931184343661023,0.015250550854520293,0.5312036844228535,-0.0782923393461427,1.919234070707688,1.6135688312480396,0.27655428602218024,-0.01429592189549061,-0.08322348567406077,0.15711548982708437,0.784205564578519,0.005864964535654347,1.4552459607041262,0.12134519971627716
Pt-6D,Pt6,PM,1.1712731497143027,-0.05877226920114767,-0.048632981212092426,-0.011799693023353186,0.16135554791533988,-0.05196429881986204,1.5835361050208951,1.2551876236919628,0.01407776929895019,-0.011167995178189881,-0.05250238211747368,0.12698121941670223,0.6030569834831513,-0.021802613421588814,1.6424155542652525,0.026656784300874196
Pt-7A,Pt7,T,1.3303730069669426,-0.06948967848139243,-0.06920202684065098,0.059663233282592064,0.06697780178950889,-0.07318316275313665,0.5647370906920378,0.3428144769042079,0.04117752484854357,0.17644121266961152,-0.02730308409185558,0.32874371250365114,0.19004827134932287,0.007663822402702241,1.2101412660538988,0.016950058326785387
Pt-7B,Pt7,HM,1.498157103245051,-0.08090638288598467,-0.07889163645634088,0.02662148803535375,0.032919949313695566,-0.08159007048362327,0.25150196256287916,0.2045994828291673,-0.016550865559859938,0.06303437550134756,-0.055145713275404976,0.3881498618903758,0.10261516958369778,-0.04965823870202408,1.2590181665033409,0.0022925795120805094
Pt-7C,Pt7,HM,1.4101465644721252,-0.0764728596247601,-0.07658759389640166,0.019929963899588492,0.036029831456694084,-0.08000816969684153,0.22278184395601128,0.14754626209258517,-0.029360819035937923,0.17620571245858516,0.013817014567686548,0.35968554892500804,0.13019010773283377,-0.0026394862175639763,1.2997229614885668,-0.007482215559016203
Pt-7D,Pt7,PM,1.4824241503124707,-0.07064595997739734,-0.051611844015860824,0.05682904247639939,0.03962630081630854,-0.07152085882042121,0.49249961147262794,0.30420075808940156,0.014129237243715731,-0.0494713690596334,-0.01875439379557465,0.3172886130188574,0.1267412189637364,0.1700672179102022,0.9357053595800328,0.02416153450972136
Pt-8A,Pt8,T,1.5573905186197494,-0.07301285433389633,-0.06844619300441601,-0.003398556307769269,0.26341264192240027,-0.07812782401846761,1.0188038535156538,0.8662343163713818,0.19672635475297373,0.15955376258530637,-0.07897263212196558,0.25986843901974804,0.3921527716394832,0.141311674139155,1.015697177411482,0.11745821898102625
Pt-8B,Pt8,HM,1.5584961097044217,-0.0818896946804136,-0.070932283302549,-0.007433445540764003,0.32631285928731457,-0.07484586635977279,0.5408037539932914,0.2250221470055265,-0.02838147731287324,0.5010849359575257,-0.0878934276395588,0.15600114377297358,0.4219130573963381,0.10839793951428744,1.2178767496363743,0.5224909852191906
Pt-8C,Pt8,HM,1.3731265409027782,-0.074077693277024,-0.045791246718592714,-0.012904679491394086,0.47268935889145786,-0.026393705775511124,0.5147996553981574,0.35440387075213564,0.031776035624242895,0.31304371495556993,-0.0840269532019,0.06687431085155411,0.41972338151408606,0.15333705304131004,1.1906545607188244,0.46622949011257453
Pt-8D,Pt8,PM,0.9463147026046287,-0.07450390734741962,-0.05348020718176272,-0.0022136904292547376,0.5588457365602606,-0.04162390422645952,0.3166630650821697,0.6321302842570523,0.07267376620786944,-0.05347189932465444,-0.08805589928816875,0.0821726895272042,0.6011425086287042,0.18100297934757617,0.9861415548027407,0.2905628717402565
Pt-9A,Pt9,T,2.0556732521849352,-0.0027872710334868288,-0.05434787144907375,0.06932315625549158,0.6247893414313329,-0.059569632277992716,0.9832171867584354,1.136776567607134,0.4038498876374855,0.039619868744041616,-0.07139350859511982,0.2746915389075433,0.37201373546033517,0.014941051274263597,1.0437238630529644,0.1870096427669067
Pt-9B,Pt9,HM,2.2510082313068653,-0.07675197869950055,-0.08675164231204736,-0.037116515254305225,0.28537491068788934,-0.08512975014996624,0.33156147204487646,0.5299381922817912,-0.02856225398360791,0.05665025884626758,-0.08262031115874245,0.5004942435155071,0.11705968466663319,-0.05650321049041707,1.19694428044769,0.062295152459627544
Pt-9C,Pt9,HM,2.2451234100074253,-0.05792173824365665,-0.06697819865900556,-0.008674390626370793,0.6631402675316498,-0.07003141794227954,0.3931997954394977,0.3061524238989631,0.07608999293171614,0.5510345515390851,-0.07232036254964536,0.2793691425151053,0.287798528694987,-0.03893584608261601,1.2933635567661463,0.1555887191809131
Pt-9D,Pt9,PM,1.9603544057352478,-0.05522067733000971,-0.0493355534277638,-0.036635320304580596,0.5486574305686589,-0.04932326864633082,0.9100719193531805,1.587080545941001,0.2824420480294671,0.07502294772939383,-0.05327515393040933,0.2667781616451857,0.4166666613841149,0.012602296107301592,0.9571672357603483,0.08934470080423396
